A0,A2,A5
37762,行政许可决定书,国家高新技术产业开发区(新北区)行政审批局
34217,关于同意江苏鹏拍国际拍卖有限公司经营拍卖业务的批复,商务局
37764,行政许可决定书,行政审批局(区政务服务管理办公室)
37763,行政许可决定书,行政审批局
37759,行政许可决定书,行政审批局
37755,行政许可决定书,行政审批局
37752,交通行政许可申请许可决定书,港口局
37758,320405YX21004922,公安局经开分局
37757,行政许可决定书,行政审批局(区政务服务管理办公室)
37181,准予许可决定书,行政审批局
37908,准予行政许可决定书,行政审批局
37166,交通行政许可申请许可决定书,交通运输局
34417,建筑业企业资质的核准,住房和城乡建设厅
37165,交通行政许可申请许可决定书,港口局
37167,交通行政许可申请许可决定书,交通运输局
34416,建筑业企业资质的核准,住房和城乡建设厅
34415,建筑业企业资质的核准,住房和城乡建设厅
37168,交通行政许可申请许可决定书,交通运输局
37169,交通行政许可申请许可决定书,港口局
34418,建筑业企业资质的核准,住房和城乡建设厅
37153,交通行政许可申请许可决定书,港口局
37154,交通行政许可申请许可决定书,交通运输局
33374,准予行政许可决定书,工业和信息化局
37152,交通行政许可申请许可决定书,港口局
37155,交通行政许可申请许可决定书,交通运输局
34420,建筑业企业资质的核准,住房和城乡建设厅
34419,建筑业企业资质的核准,住房和城乡建设厅
34425,危险化学品经营许可,行政审批局
34421,建筑业企业资质的核准,住房和城乡建设厅
34414,建筑业企业资质的核准,住房和城乡建设厅
37895,医疗器械注册证,药品监督管理局
37894,医疗器械注册证,药品监督管理局
37896,医疗器械生产许可证,药品监督管理局
34412,建筑业企业资质的核准,住房和城乡建设厅
34411,建筑业企业资质的核准,住房和城乡建设厅
37178,准予行政许可决定书,行政审批局
37179,生产建设项目水土保持方案审批,行政审批局
34410,建筑业企业资质的核准,住房和城乡建设厅
34409,建筑业企业资质的核准,住房和城乡建设厅
37897,医疗器械生产许可证,药品监督管理局
34413,建筑业企业资质的核准,住房和城乡建设厅
33390,特殊建设工程消防设计审查意见书,住房和城乡建设局
33387,特殊建设工程消防设计审查意见书,住房和城乡建设局
33389,公共场所卫生许可（变更）,卫生健康委员会
37903,高危险性体育项目经营许可,文体广电和旅游局
33481,建筑业企业资质的核准,住房和城乡建设厅
37898,医疗器械注册证,药品监督管理局
33391,下蜀镇建设用地规划审批申请表,下蜀镇人民政府
33394,食品经营许可,市场监督管理局
33910,食品经营许可,市场监督管理局
37587,中华人民共和国内河船舶检验证书,地方海事局
37588,中华人民共和国内河船舶检验证书,地方海事局
33591,准予行政许可决定书,行政审批局
33587,建筑业企业资质的核准,住房和城乡建设厅
37595,中华人民共和国内河船舶检验证书,地方海事局
37599,建筑业企业资质的核准,住房和城乡建设厅
37600,建筑业企业资质的核准,住房和城乡建设厅
37596,中华人民共和国内河船舶检验证书,地方海事局
37598,建筑业企业资质的核准,住房和城乡建设厅
33593,准予行政许可决定书,市政和园林局
33679,商品房预售许可,住房保障和房产局
37567,交通行政许可申请许可决定书,港口局
37740,交通行政许可申请许可决定书,交通运输局
33691,商品房预售许可,住房保障和房产局
37568,交通行政许可申请许可决定书,交通运输局
33600,食品经营许可,市场监督管理局
33594,准予行政许可决定书,行政审批局
37569,交通行政许可申请许可决定书,交通运输局
37570,交通行政许可申请许可决定书,交通运输局
37601,建筑业企业资质的核准,住房和城乡建设厅
37733,医疗器械注册证,药品监督管理局
37734,药品出口准许证,药品监督管理局
37731,医疗器械注册证,药品监督管理局
37732,医疗器械注册证,药品监督管理局
37735,药品经营许可证,药品监督管理局
37738,交通行政许可申请许可决定书,交通运输局
37737,交通行政许可申请许可决定书,交通运输局
37736,交通行政许可申请许可决定书,交通运输局
37739,交通行政许可申请许可决定书,交通运输局
37730,医疗器械生产许可证,药品监督管理局
37606,行政许可决定书,行政审批局(区政务服务管理办公室)
37607,行政许可决定书,行政审批局(区政务服务管理办公室)
37602,行政许可决定书,行政审批局(区政务服务管理办公室)
37603,行政许可决定书,农业农村局
37725,医疗器械注册证,药品监督管理局
37728,医疗器械注册证,药品监督管理局
37729,医疗器械注册证,药品监督管理局
37726,医疗器械注册证,药品监督管理局
37727,药品经营许可证,药品监督管理局
33697,社会团体登记证书,民政局
37380,建设项目用地预审与选址意见书,自然资源和规划局
37381,建设项目用地预审与选址意见书,自然资源和规划局
37378,建设工程消防设计审核意见书,经济技术开发区住房和城乡建设局
37379,准予变更行政许可决定书,市场监督管理局
37384,建筑业企业资质的核准,住房和城乡建设厅
33586,建筑业企业资质的核准,住房和城乡建设厅
37386,建筑业企业资质的核准,住房和城乡建设厅
37385,建筑业企业资质的核准,住房和城乡建设厅
33585,建筑业企业资质的核准,住房和城乡建设厅
37377,对外贸易经营者备案登记,商务局
33494,准予行政许可决定书,气象局
33875,商品房预售许可,住房保障和房产局
33493,准予行政许可决定书,行政审批局
33898,建筑业企业资质证书,城乡建设委员会
37373,建设用地规划许可证,自然资源和规划局
33584,建筑业企业资质的核准,住房和城乡建设厅
37376,对外贸易经营者备案登记,商务局
33868,准予行政许可决定书,行政审批局
37375,对外贸易经营者备案登记,商务局
33866,建筑业企业资质的核准,住房和城乡建设厅
37402,建筑业企业资质的核准,住房和城乡建设厅
37404,园林绿化准予行政许可决定书,绿化园林局
37400,建筑业企业资质的核准,住房和城乡建设厅
37401,建筑业企业资质的核准,住房和城乡建设厅
37463,园林绿化准予行政许可决定书,绿化园林局
37558,医疗器械生产许可证,药品监督管理局
37559,医疗器械注册证,药品监督管理局
37556,医疗器械注册证,药品监督管理局
37557,医疗器械注册证,药品监督管理局
37399,行政许可决定书,行政审批局(区政务服务管理办公室)
37392,店招标牌,综合行政执法局
33786,准予药品经营许可证换发行政许可决定书,行政审批局
33865,建筑业企业资质的核准,住房和城乡建设厅
37391,店招标牌,综合行政执法局
33780,建筑业企业资质的核准,住房和城乡建设厅
37397,行政许可决定书,湖塘镇人民政府
37398,行政许可决定书,湖塘镇人民政府
37395,行政许可决定书,行政审批局(区政务服务管理办公室)
37396,行政许可决定书,行政审批局(区政务服务管理办公室)
36871,交通行政许可申请许可决定书,港口局
32990,建筑业企业资质的核准,住房和城乡建设厅
36872,交通行政许可申请许可决定书,交通运输局
36936,交通行政许可申请许可决定书,交通运输局
33250,建筑业企业资质的核准,住房和城乡建设厅
32989,建筑业企业资质的核准,住房和城乡建设厅
33249,建筑业企业资质的核准,住房和城乡建设厅
36941,准予许可决定书,行政审批局
36932,交通行政许可申请许可决定书,口岸办
36933,交通行政许可申请许可决定书,交通运输局
36930,交通行政许可申请许可决定书,交通运输局
36931,交通行政许可申请许可决定书,交通运输局
36935,交通行政许可申请许可决定书,交通运输局
36873,交通行政许可申请许可决定书,交通运输局
36934,交通行政许可申请许可决定书,交通运输局
33118,建筑业企业资质的核准,住房和城乡建设厅
36953,交通行政许可申请许可决定书,交通运输局
38085,危险化学品经营许可,应急管理局
36951,交通行政许可申请许可决定书,交通运输局
36952,交通行政许可申请许可决定书,交通运输局
38126,交通行政许可申请许可决定书,口岸办
38127,交通行政许可申请许可决定书,港口局
33252,建筑业企业资质的核准,住房和城乡建设厅
38125,交通行政许可申请许可决定书,交通运输局
36944,准予许可决定书,行政审批局
36945,准予行政许可决定书,行政审批局
36943,准予许可决定书,行政审批局
38124,交通行政许可申请许可决定书,交通运输局
36949,交通行政许可申请许可决定书,交通运输局
36950,交通行政许可申请许可决定书,交通运输局
33251,建筑业企业资质的核准,住房和城乡建设厅
36948,交通行政许可申请许可决定书,交通运输局
36929,交通行政许可申请许可决定书,交通运输局
34787,交通行政许可申请许可决定书,交通运输局
34786,交通行政许可申请许可决定书,口岸办
38103,中华人民共和国港口经营许可证,交通运输局
34788,交通行政许可申请许可决定书,交通运输局
36879,交通行政许可申请许可决定书,口岸办
38108,行政许可决定书,行政审批局(区政务服务管理办公室)
36880,交通行政许可申请许可决定书,港口局
38107,行政许可决定书,行政审批局
36883,交通行政许可申请许可决定书,交通运输局
36884,交通行政许可申请许可决定书,交通运输局
36882,交通行政许可申请许可决定书,交通运输局
36881,交通行政许可申请许可决定书,交通运输局
38106,行政许可决定书,经济开发区行政审批局
38105,320405GB21102142,公安局经开分局
36885,交通行政许可申请许可决定书,交通运输局
36886,交通行政许可申请许可决定书,交通运输局
38112,建筑业企业资质的核准,住房和城乡建设厅
33144,建筑业企业资质证书,城乡建设委员会
33138,关于同意南京睿和祥拍卖有限公司经营拍卖业务的批复,商务局
38111,建筑业企业资质的核准,住房和城乡建设厅
33155,高危险性体育项目经营许可证,行政审批局
38115,建筑业企业资质的核准,住房和城乡建设厅
38113,建筑业企业资质的核准,住房和城乡建设厅
38114,建筑业企业资质的核准,住房和城乡建设厅
36900,交通行政许可申请许可决定书,口岸办
36901,交通行政许可申请许可决定书,港口局
38110,建筑业企业资质的核准,住房和城乡建设厅
36899,交通行政许可申请许可决定书,交通运输局
36904,交通行政许可申请许可决定书,交通运输局
36905,交通行政许可申请许可决定书,交通运输局
36902,交通行政许可申请许可决定书,港口局
36903,交通行政许可申请许可决定书,港口局
37138,交通行政许可申请许可决定书,交通运输局
34718,医疗器械注册证,药品监督管理局
38070,医疗器械注册证,药品监督管理局
38069,医疗器械注册证,药品监督管理局
37985,园林绿化准予行政许可决定书,绿化园林局
37940,建筑业企业资质的核准,住房和城乡建设厅
34717,医疗器械注册证,药品监督管理局
34716,医疗器械注册证,药品监督管理局
38071,医疗器械生产许可证,药品监督管理局
34719,医疗器械生产许可证,药品监督管理局
38076,医疗器械生产许可证,药品监督管理局
34721,医疗器械注册证,药品监督管理局
34720,医疗器械注册证,药品监督管理局
38073,医疗器械生产许可证,药品监督管理局
38072,医疗器械注册证,药品监督管理局
38075,医疗器械生产许可证,药品监督管理局
38074,医疗器械注册证,药品监督管理局
37939,行政许可决定书,行政审批局(区政务服务管理办公室)
34619,危险化学品经营许可,行政审批局
34429,食品经营许可,市场监督管理局
33263,准予行政许可决定书,卫生健康委员会
33264,高危险性体育项目经营许可证,行政审批局
37151,交通行政许可申请许可决定书,港口局
33373,泰州市行政审批局准予行政许可决定书,行政审批局
36708,交通行政许可申请许可决定书,交通运输局
34426,准予行政许可决定书,城管局
33259,准予行政许可决定书,工业和信息化局
37936,320405GB21102041,公安局经开分局
37933,行政许可决定书,生态环境局
37938,行政许可决定书,行政审批局(区政务服务管理办公室)
37937,行政许可决定书,行政审批局(区政务服务管理办公室)
33255,建筑业企业资质的核准,住房和城乡建设厅
36709,交通行政许可申请许可决定书,口岸办
37931,行政许可决定书,行政审批局
33254,建筑业企业资质的核准,住房和城乡建设厅
34722,医疗器械注册证,药品监督管理局
34753,交通行政许可申请许可决定书,交通运输局
34752,交通行政许可申请许可决定书,交通运输局
34755,交通行政许可申请许可决定书,交通运输局
34754,交通行政许可申请许可决定书,港口局
38132,园林绿化准予行政许可决定书,绿化园林局
38077,医疗器械注册证,药品监督管理局
34747,交通行政许可申请许可决定书,交通运输局
38079,医疗器械注册证,药品监督管理局
38078,医疗器械注册证,药品监督管理局
38130,交通行政许可申请许可决定书,交通运输局
38131,交通行政许可申请许可决定书,交通运输局
38128,交通行政许可申请许可决定书,口岸办
38129,交通行政许可申请许可决定书,交通运输局
36741,建筑工程施工许可,行政审批局
34757,交通行政许可申请许可决定书,港口局
34756,交通行政许可申请许可决定书,交通运输局
36710,交通行政许可申请许可决定书,交通运输局
33253,建筑业企业资质的核准,住房和城乡建设厅
34746,交通行政许可申请许可决定书,口岸办
34724,医疗器械注册证,药品监督管理局
34744,交通行政许可申请许可决定书,交通运输局
34737,准予许可决定书,卫生健康委员会
34742,船舶检验证书,交通运输局
34743,船舶检验证书,交通运输局
37127,交通行政许可申请许可决定书,口岸办
34745,交通行政许可申请许可决定书,港口局
34723,医疗器械注册证,药品监督管理局
33014,建筑业企业资质证书,城乡建设委员会
33006,建筑业企业资质证书,城乡建设委员会
35254,交通行政许可申请许可决定书,港口局
35260,交通行政许可申请许可决定书,港口局
33018,建筑业企业资质证书,城乡建设委员会
35256,交通行政许可申请许可决定书,交通运输局
35451,关于车辆许可决定书,交通运输局
32995,园林绿化准予行政许可决定书,绿化园林局
35255,交通行政许可申请许可决定书,交通运输局
35257,交通行政许可申请许可决定书,交通运输局
32999,南京城市绿化条例,城管局
35259,交通行政许可申请许可决定书,交通运输局
35258,交通行政许可申请许可决定书,交通运输局
33486,建筑工程施工许可证,行政审批局
33487,建筑工程施工许可证,行政审批局
35297,交通行政许可申请许可决定书,交通运输局
35295,交通行政许可申请许可决定书,交通运输局
35296,交通行政许可申请许可决定书,交通运输局
35276,交通行政许可申请许可决定书,交通运输局
35275,交通行政许可申请许可决定书,交通运输局
35277,交通行政许可申请许可决定书,交通运输局
35279,交通行政许可申请许可决定书,交通运输局
35278,交通行政许可申请许可决定书,交通运输局
33485,建筑工程施工许可证,行政审批局
35288,关于车辆许可决定书,交通运输管理处
35289,关于车辆许可决定书,运输管理处
33385,建筑工程施工许可,行政审批局
33273,准予行政许可决定书,卫健委
33256,泰州市行政审批局准予        行政许可决定书,行政审批局
35293,交通行政许可申请许可决定书,交通运输局
35294,交通行政许可申请许可决定书,交通运输局
35292,关于车辆许可决定书,交通运输局
35290,关于车辆许可决定书,运输管理处
35291,关于车辆许可决定书,交通运输局
35274,交通行政许可申请许可决定书,港口局
35446,关于车辆许可决定书,运输管理处
35447,关于车辆许可决定书,运输管理处
33142,建筑业企业资质证书,城乡建设委员会
35312,中华人民共和国内河船舶检验证书,地方海事局
33143,建筑业企业资质证书,城乡建设委员会
35262,交通行政许可申请许可决定书,口岸办
35261,交通行政许可申请许可决定书,交通运输局
33122,准予行政许可决定书,行政审批局
33135,建筑业企业资质证书,城乡建设委员会
33134,南京城市绿化条例,城管局
33145,建筑业企业资质证书,城乡建设委员会
35270,关于车辆许可决定书,运输管理所
35269,关于车辆许可决定书,运输管理所
35271,关于车辆许可决定书,交通运输局
35273,交通行政许可申请许可决定书,港口局
35272,关于车辆许可决定书,交通运输综合管理所
33154,建筑业企业资质证书,城乡建设委员会
33149,建筑业企业资质证书,城乡建设委员会
35301,关于车辆许可决定书,交通运输局
33495,食品经营许可,市场监督管理局
33158,南京城市绿化条例,城管局
35253,交通行政许可申请许可决定书,港口局
34766,交通行政许可申请许可决定书,港口局
34765,交通行政许可申请许可决定书,交通运输局
34990,建设工程规划许可证,自然资源和规划局
34767,交通行政许可申请许可决定书,港口局
34764,交通行政许可申请许可决定书,交通运输局
34761,交通行政许可申请许可决定书,港口局
34760,交通行政许可申请许可决定书,港口局
34763,交通行政许可申请许可决定书,交通运输局
34762,交通行政许可申请许可决定书,港口局
34768,交通行政许可申请许可决定书,港口局
34773,交通行政许可申请许可决定书,港口局
34772,交通行政许可申请许可决定书,交通运输局
34775,交通行政许可申请许可决定书,交通运输局
34774,交通行政许可申请许可决定书,交通运输局
34981,关于车辆许可决定书,交通运输局
34770,交通行政许可申请许可决定书,港口局
34769,交通行政许可申请许可决定书,港口局
34982,关于车辆许可决定书,交通运输局
34771,交通行政许可申请许可决定书,交通运输局
35005,交通行政许可申请许可决定书,港口局
35006,交通行政许可申请许可决定书,交通运输局
35003,交通行政许可申请许可决定书,港口局
35004,交通行政许可申请许可决定书,交通运输局
34627,食品经营许可,市场监督管理局
35007,交通行政许可申请许可决定书,交通运输局
35008,交通行政许可申请许可决定书,港口局
34626,建筑业企业资质证书,城乡建设委员会
34625,建筑业企业资质证书,城乡建设委员会
35002,交通行政许可申请许可决定书,交通运输局
34751,交通行政许可申请许可决定书,交通运输局
34750,交通行政许可申请许可决定书,港口局
34759,交通行政许可申请许可决定书,交通运输局
34758,交通行政许可申请许可决定书,港口局
34749,关于车辆许可决定书,运输管理所
35000,交通行政许可申请许可决定书,交通运输局
35001,交通行政许可申请许可决定书,交通运输局
34748,关于车辆许可决定书,运输管理所
34999,交通行政许可申请许可决定书,交通运输局
34776,交通行政许可申请许可决定书,交通运输局
34797,关于车辆许可决定书,运输管理处
34796,关于车辆许可决定书,交通运输局
34812,交通行政许可申请许可决定书,交通运输局
34798,交通行政许可申请许可决定书,交通运输局
34818,交通行政许可申请许可决定书,港口局
34821,交通行政许可申请许可决定书,交通运输局
34822,交通行政许可申请许可决定书,交通运输局
34819,交通行政许可申请许可决定书,交通运输局
34820,交通行政许可申请许可决定书,口岸办
34811,交通行政许可申请许可决定书,交通运输局
34803,交通行政许可申请许可决定书,港口局
34802,交通行政许可申请许可决定书,交通运输局
34806,关于车辆许可决定书,交通运输局
34807,关于车辆许可决定书,交通运输局
34801,交通行政许可申请许可决定书,交通运输局
34799,交通行政许可申请许可决定书,交通运输局
34810,交通行政许可申请许可决定书,港口局
34800,交通行政许可申请许可决定书,交通运输局
34808,关于车辆许可决定书,交通运输局
34783,交通行政许可申请许可决定书,交通运输局
34782,交通行政许可申请许可决定书,港口局
34785,交通行政许可申请许可决定书,市交通运输局
34784,交通行政许可申请许可决定书,交通运输局
34781,交通行政许可申请许可决定书,口岸办
34778,交通行政许可申请许可决定书,港口局
34777,交通行政许可申请许可决定书,交通运输局
34780,交通行政许可申请许可决定书,港口局
34779,交通行政许可申请许可决定书,交通运输局
34789,关于车辆许可决定书,运输管理处
34793,关于车辆许可决定书,交通运输局
34823,交通行政许可申请许可决定书,交通运输局
34795,关于车辆许可决定书,交通运输局
34794,关于车辆许可决定书,交通运输局
34824,交通行政许可申请许可决定书,交通运输局
34791,关于车辆许可决定书,交通运输管理处
34790,关于车辆许可决定书,交通运输局
34792,关于车辆许可决定书,交通运输局
34961,准予许可决定书,行政审批局
33903,建筑业企业资质证书,城乡建设委员会
33899,建筑业企业资质证书,城乡建设委员会
33909,食品经营许可,市场监督管理局
35202,关于车辆许可决定书,运输管理所
33897,建筑业企业资质证书,城乡建设委员会
33883,建筑业企业资质证书,城乡建设委员会
33882,建筑业企业资质证书,城乡建设委员会
33895,建筑业企业资质证书,城乡建设委员会
33888,建筑业企业资质证书,城乡建设委员会
35068,建设项目选址意见书,自然资源和规划局
34206,建筑业企业资质证书,城乡建设委员会
34109,建筑业企业资质证书,城乡建设委员会
34211,建筑业企业资质证书,城乡建设委员会
34209,建筑业企业资质证书,城乡建设委员会
34108,建筑业企业资质证书,城乡建设委员会
35063,交通行政许可申请许可决定书,交通运输局
35065,准予行政许可决定书,新闻出版局
34003,南京城市绿化条例,城管局
33989,药品经营许可证申请准予通知书,经济技术开发区行政审批局
33588,关于准予江苏桐昆恒阳化纤有限公司智能化产业项目取水的行政许可决定,水利局
35243,交通行政许可申请许可决定书,港口局
33590,关于准予宿迁桐昆旭阳热电有限公司热电联产项目取水的行政许可决定,水利局
33589,关于准予宿迁桐昆宏阳印染有限公司7亿米布料生产线项目取水的行政许可决定,水利局
35244,交通行政许可申请许可决定书,港口局
35251,交通行政许可申请许可决定书,交通运输局
35252,交通行政许可申请许可决定书,港口局
35249,交通行政许可申请许可决定书,港口局
35250,交通行政许可申请许可决定书,市交通运输局
33675,中华人民共和国机电进口许可证,商务局
33876,建筑业企业资质证书,城乡建设委员会
35216,药品补充申请备案件,药品监督管理局
33879,建筑业企业资质证书,城乡建设委员会
33878,建筑业企业资质证书,城乡建设委员会
35218,关于业户许可决定书,交通运输局
33689,建筑业企业资质证书,城乡建设委员会
33676,建筑业企业资质证书,城乡建设委员会
35219,关于车辆许可决定书,运输管理处
33696,建筑业企业资质证书,城乡建设委员会
34214,建筑业企业资质证书,城乡建设委员会
35020,交通行政许可申请许可决定书,港口局
35021,交通行政许可申请许可决定书,口岸办
35018,交通行政许可申请许可决定书,交通运输局
35019,交通行政许可申请许可决定书,港口局
35025,关于车辆许可决定书,运输管理所
35029,交通行政许可申请许可决定书,交通运输局
35030,交通行政许可申请许可决定书,交通运输局
35026,关于车辆许可决定书,运输管理处
35028,关于车辆许可决定书,交通运输局
34427,建筑业企业资质证书,城乡建设委员会
35011,交通行政许可申请许可决定书,交通运输局
35012,交通行政许可申请许可决定书,交通运输局
35009,交通行政许可申请许可决定书,交通运输局
35010,交通行政许可申请许可决定书,交通运输局
35013,交通行政许可申请许可决定书,港口局
35016,交通行政许可申请许可决定书,交通运输局
35017,交通行政许可申请许可决定书,交通运输局
35014,交通行政许可申请许可决定书,交通运输局
35015,交通行政许可申请许可决定书,交通运输局
35049,关于车辆许可决定书,交通运输局
35050,关于业户许可决定书,交通运输局
35047,关于车辆许可决定书,运输管理处
35048,关于车辆许可决定书,交通运输局
35051,关于业户许可决定书,交通运输局
35054,关于业户许可决定书,交通运输局
34216,建设工程消防设计审查意见书,城乡建设委员会
35052,关于车辆许可决定书,交通运输局
35053,关于车辆许可决定书,交通运输局
35046,关于车辆许可决定书,运输管理处
35033,交通行政许可申请许可决定书,港口局
35034,交通行政许可申请许可决定书,交通运输局
35031,交通行政许可申请许可决定书,港口局
35032,交通行政许可申请许可决定书,港口局
35035,交通行政许可申请许可决定书,交通运输局
34317,准予药品经营许可证变更行政许可决定书,行政审批局
35045,关于车辆许可决定书,交通运输局
35036,交通行政许可申请许可决定书,交通运输局
35037,交通行政许可申请许可决定书,交通运输局
35452,关于车辆许可决定书,交通运输局
37121,关于车辆许可决定书,运输运政稽查管理所
37122,关于车辆许可决定书,交通运输局
37123,关于车辆许可决定书,交通运输管理处
36969,交通行政许可申请许可决定书,交通运输局
36970,交通行政许可申请许可决定书,县交通运输局
36971,交通行政许可申请许可决定书,交通运输局
37125,交通行政许可申请许可决定书,港口局
37130,关于车辆许可决定书,交通运输管理处
37131,关于车辆许可决定书,运输管理所
37132,关于车辆许可决定书,交通运输局
37126,交通行政许可申请许可决定书,交通运输局
37128,关于车辆许可决定书,交通运输管理处
37129,关于车辆许可决定书,交通运输管理处
36968,交通行政许可申请许可决定书,交通运输局
36958,关于车辆许可决定书,运输管理处
36959,关于车辆许可决定书,交通运输局
36960,关于车辆许可决定书,交通运输局
36955,关于车辆许可决定书,交通运输管理处
36956,关于车辆许可决定书,交通运输局
36957,关于车辆许可决定书,交通运输局
36961,关于车辆许可决定书,交通运输局
36965,关于车辆许可决定书,交通运输局
36966,交通行政许可申请许可决定书,港口局
36967,交通行政许可申请许可决定书,交通运输局
36962,关于车辆许可决定书,交通运输局
36963,关于车辆许可决定书,交通运输局
36964,关于车辆许可决定书,交通运输局
37158,关于车辆许可决定书,交通运输局
37159,关于车辆许可决定书,运输管理处
37160,关于车辆许可决定书,运输管理处
37148,关于车辆许可决定书,运输运政稽查管理所
37156,关于业户许可决定书,交通运输局
37157,关于车辆许可决定书,经济开发区行政审批局
37161,关于扬州市佳源桂府幼儿园建设工程抗震设防要求的批复,住房和城乡建设局
37173,交通行政许可申请许可决定书,港口局
37174,交通行政许可申请许可决定书,交通运输局
37175,交通行政许可申请许可决定书,交通运输局
37170,关于车辆许可决定书,运输运政稽查管理所
37171,交通行政许可申请许可决定书,港口局
37172,交通行政许可申请许可决定书,交通运输局
37147,关于车辆许可决定书,运输运政稽查管理所
37136,关于车辆许可决定书,交通运输局
37137,关于车辆许可决定书,运输管理处
37139,关于车辆许可决定书,运输管理处
37133,关于车辆许可决定书,交通运输局
37134,关于车辆许可决定书,运输管理所
37135,关于车辆许可决定书,交通运输局
37140,关于车辆许可决定书,运输管理处
37144,关于车辆许可决定书,交通运输局
37145,关于车辆许可决定书,交通运输局
37146,关于车辆许可决定书,交通运输局
37141,关于车辆许可决定书,运输管理处
37142,关于车辆许可决定书,交通运输综合管理所
37143,关于车辆许可决定书,交通运输局
36954,关于业户许可决定书,运输管理所
36704,交通行政许可申请许可决定书,港口局
36705,交通行政许可申请许可决定书,交通运输局
36706,交通行政许可申请许可决定书,交通运输局
36685,交通行政许可申请许可决定书,交通运输局
36686,交通行政许可申请许可决定书,交通运输局
36703,交通行政许可申请许可决定书,交通运输局
36858,准予行政许可决定书,卫生健康委员会
36868,关于车辆许可决定书,交通运输局
36869,关于车辆许可决定书,运输管理处
36874,关于车辆许可决定书,运输管理处
36859,准予行政许可决定书,卫生健康委员会
36866,关于车辆许可决定书,交通运输局
36867,关于车辆许可决定书,交通运输局
36684,交通行政许可申请许可决定书,交通运输局
36666,关于车辆许可决定书,交通运输局
36667,关于车辆许可决定书,区运输管理处
36668,关于车辆许可决定书,交通运输局
36660,关于车辆许可决定书,运输运政稽查管理所
36664,关于车辆许可决定书,交通运输局
36665,关于车辆许可决定书,交通运输局
36669,关于车辆许可决定书,交通运输局
36681,关于车辆许可决定书,运输运政稽查管理所
36682,关于车辆许可决定书,运输运政稽查管理所
36683,交通行政许可申请许可决定书,交通运输局
36676,关于徐州徐牛养殖科技发展有限公司奶牛养殖项目环境影响报告书的审批意见,环境保护局
36679,关于车辆许可决定书,交通运输局
36680,关于车辆许可决定书,交通运输局
36908,交通行政许可申请许可决定书,口岸办
36909,交通行政许可申请许可决定书,港口局
36910,交通行政许可申请许可决定书,交通运输局
36898,关于车辆许可决定书,运输管理处
36906,交通行政许可申请许可决定书,交通运输局
36907,交通行政许可申请许可决定书,交通运输局
36911,交通行政许可申请许可决定书,交通运输局
36939,准予许可决定书,行政审批局
36942,准予许可决定书,行政审批局
36946,准予行政许可决定书,胥口镇人民政府
36912,交通行政许可申请许可决定书,交通运输局
