A0,A1,A2,A3,A4,A5,A6
35753,中国石化扬子石油化工有限公司,交通行政许可申请许可决定书,NJ320100202107210012,"中国石化扬子石油化工有限公司:你(单位)于2021-07-21 08:52:50向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 10:00:00至2021-07-22 17:00:00时间内作业。",南京市交通运输局,2021/7/21
35754,中国石化销售股份有限公司江苏江阴石油分公司,交通行政许可申请许可决定书,WX320200202107210001,"中国石化销售股份有限公司江苏江阴石油分公司:你(单位)于2021-07-21 07:35:48向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 08:10:00至2021-07-22 23:20:00时间内作业。",江阴市口岸办,2021/7/21
35756,扬州龙川控股工程建设有限公司,关于扬州市江都区针织总厂安置区项目水土保持方案的行政许可决定,扬江水许〔2021〕26号,扬州龙川控股工程建设有限公司扬州市江都区针织总厂安置区项目位于扬州市江都区仙女镇长江西路南侧，富豪花园路西侧。,扬州市江都区水务局,2021/7/21
35750,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210125,"张家港保税港区港务有限公司:你(单位)于2021-07-21 16:37:17向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
35751,南京港龙潭集装箱有限公司,交通行政许可申请许可决定书,NJ320100202107210016,"南京港龙潭集装箱有限公司:你(单位)于2021-07-21 09:03:42向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 19:00:00至2021-07-23 19:00:00时间内作业。",南京市交通运输局,2021/7/21
35752,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210007,"张家港保税港区港务有限公司:你(单位)于2021-07-21 09:41:23向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
35761,扬州市邗江区西湖农工商总公司,建设用地规划许可证,扬规地字第321003202100038号,西湖科技创业园四期项目,扬州市自然资源和规划局,2021/7/21
35762,川源环境科技（扬州）有限公司,建设用地规划许可证,扬规地字第321003202100039号,川源智能环保设备项目,扬州市自然资源和规划局,2021/7/21
35245,连云港新东方集装箱码头有限公司,交通行政许可申请许可决定书,LYG320700202107210012,"连云港新东方集装箱码头有限公司:你(单位)于2021-07-21 16:16:54向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 00:00:00至2021-07-24 00:00:00时间内作业。",连云港市港口局,2021/7/21
35248,中国石化扬子石油化工有限公司,交通行政许可申请许可决定书,NJ320100202107210013,"中国石化扬子石油化工有限公司:你(单位)于2021-07-21 08:55:41向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 16:00:00至2021-07-23 06:00:00时间内作业。",南京市交通运输局,2021/7/21
35247,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210104,"张家港保税港区港务有限公司:你(单位)于2021-07-21 16:05:31向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
35246,连云港新东方集装箱码头有限公司,交通行政许可申请许可决定书,LYG320700202107210013,"连云港新东方集装箱码头有限公司:你(单位)于2021-07-21 16:21:16向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 00:00:00至2021-07-24 00:00:00时间内作业。",连云港市港口局,2021/7/21
36707,海门市龙发化工有限公司,交通行政许可申请许可决定书,NT320600202107210032,"海门市龙发化工有限公司:你(单位)于2021-07-21 13:06:27向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 13:30:00至2021-07-22 20:00:00时间内作业。",海门市交通运输局,2021/7/21
37193,江苏盛程岩土工程有限公司,建筑业企业资质的核准,D23217739420210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37891,江阴贝瑞森生化技术有限公司,医疗器械生产许可证,苏食药监械生产许20120112号,II类:14-10创面敷料，14-15病人护理防护用品，14-16其它器械，17-10其他口腔材料,江苏省药品监督管理局,2021/7/21
37191,江苏蓬煌建设有限公司,建筑业企业资质的核准,D23215530020210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37192,苏州市幕之光照明工程有限公司,建筑业企业资质的核准,D23217750420210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37194,江苏恒玖信建设工程有限公司,建筑业企业资质的核准,D23236041020210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37195,江苏驰驰建设有限公司,建筑业企业资质的核准,D23234756220210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
33482,江苏徽派建设工程有限公司,建筑业企业资质的核准,D23220415720210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37890,苏州长光华医生物医学工程有限公司,医疗器械注册证,苏械注准20212401084,试剂1：内含有生物素标记抗肿瘤相关抗原15-3单克隆抗体（约0.75mg/L，小鼠），pH约6.0的MES缓冲液（约0.05mol/L)，0.1%Proclin300；试剂2：内含有吖啶酯标记抗肿瘤相关抗原15-3单克隆抗体（约0.75mg/L，小鼠），pH约6.0的MES缓冲液（约0.05mol/L)，0.1%Proclin300；磁颗粒：内含链霉亲和素包被的微粒(约0.9mg/mL)，经防腐处理；校准品1：内含人源性的肿瘤相关抗原15-3抗原（约15U/mL)，0.1%新生牛血清，0.1%Proclin300校准品2：内含人源性的肿瘤相关抗原15-3抗原（约150U/mL)，0.1%新生牛血清，0.1%Proclin300校准品3：内含人源性的肿瘤相关抗原15-3抗原（约50U/mL)，0.1%新生牛血清，0.1%Proclin300。,江苏省药品监督管理局,2021/7/21
37889,苏州佐尔奥医疗科技有限公司,医疗器械生产许可证,苏食药监械生产许20210193号,III类:08-03急救设备,江苏省药品监督管理局,2021/7/21
37190,苏州汇海环境技术工程有限公司,建筑业企业资质的核准,D23221923120210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34408,江苏韶河门窗有限公司,建筑业企业资质的核准,D23238725220210721,建筑幕墙工程专业承包贰级,江苏省住房和城乡建设厅,2021/7/21
34407,无锡钧茂聚晟新能源科技有限公司,建筑业企业资质的核准,D23238721020210721,电力工程施工总承包叁级,江苏省住房和城乡建设厅,2021/7/21
37182,苏州大聚企业管理有限公司,准予行政许可决定书,2021第217号,新申请劳务派遣,吴中区行政审批局,2021/7/21
37183,江苏精辉建设工程有限公司,苏州市吴中区行政审批局准予行政许可决定书,吴行审许字〔2021〕18010088号,道路普通货物运输,苏州市吴中区行政审批局,2021/7/21
37186,常州市武进区玉涵教育培训中心有限公司,行政许可决定书,32041220210721000,民办非学历教育机构的变更审批,常州市武进区湖塘镇人民政府,2021/7/21
34312,宿迁弘尔旺贸易有限公司,食品经营许可,13220094食许准字〔2021〕第07210033号,食品销售经营者,沭阳县市场监督管理局,2021/7/21
34311,南京金麒麟农业科技有限公司,农作物种子生产经营许可证,C〔苏宁溧〕 农种许字〔2021〕 第0001号,常规水稻、小麦,南京市溧水区农业农村局,2021/7/21
37893,泰州泽成生物技术有限公司,医疗器械生产许可证,苏食药监械生产许20160078号,III类:68-40体外诊断试剂II类:22-02生化分析设备，22-04免疫分析设备，68-40体外诊断试剂，6840-1用于蛋白质检测的试剂，6840-2用于糖类检测的试剂，6840-3用于激素检测的试剂，6840-4用于酶类检测的试剂，6840-5用于酯类检测的试剂，6840-8用于药物及药物代谢物检测的试剂，6840-9用于自身抗体检测的试剂，6840-11用于其他生理、生化或免疫功能指标检测的试剂，6840-6用于维生素检测的试剂,江苏省药品监督管理局,2021/7/21
37892,卡尤迪生物科技宜兴有限公司,医疗器械生产许可证,苏食药监械生产许20170108号,Ⅲ类:6840-1-与致病性病原体抗原、抗体以及核酸等检测相关的试剂,江苏省药品监督管理局,2021/7/21
37765,常州市城兴置业有限公司,行政许可决定书,城管局〔2021〕1448号,临时性建筑物搭建、堆放物料、占道施工审批,常州市金坛区城市管理局,2021/7/21
34102,深圳市特发服务股份有限公司南通分公司,准予行政许可决定书,11320682355070390U400013101100001202107210392,特种设备使用登记,如皋市行政审批局,2021/7/21
34097,苏州市金_钢结构工程有限公司,建筑业企业资质的核准,D23230579820210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37751,连云港新东方国际货柜码头有限公司,交通行政许可申请许可决定书,LYG320700202107210001,"连云港新东方国际货柜码头有限公司:你(单位)于2021-07-21 08:23:40向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-24 00:00:00至2021-07-25 00:00:00时间内作业。",连云港市港口局,2021/7/21
37750,江苏梅兰化工有限公司,交通行政许可申请许可决定书,TZ321200202107210021,"江苏梅兰化工有限公司:你(单位)于2021-07-21 09:29:04向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 09:45:50至2021-07-22 17:00:00时间内作业。",泰州市交通运输局,2021/7/21
34096,江苏知端建设工程有限公司,建筑业企业资质的核准,D23237067420210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
33998,南京万燕置业有限公司,商品房预售许可,宁销房第〔2021100153W〕 号,燕语光年花园7幢,南京市住房保障和房产局,2021/7/21
33492,南通水务集团有限公司,准予行政许可决定书,1132060001420715XE300011704700001202107200001,停水申请（江海大道站一期）,南通市市政和园林局,2021/7/21
34095,扬州鼎光装饰工程有限公司,建筑业企业资质的核准,D23233764820210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34094,扬州华科智能科技有限公司,建筑业企业资质的核准,D23212145620210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34205,南通银杏大药房有限公司,准予行政许可决定书,11320683MB0337797U400017200500002202107211287,药品零售企业许可—验收,南通市通州区行政审批局,2021/7/21
37762,常州春秋假日酒店有限公司,行政许可决定书,〔常新〕行审〔公〕许〔2021〕01262号,公共场所卫生许可（延续）,常州国家高新技术产业开发区(新北区)行政审批局,2021/7/21
34217,江苏鹏拍国际拍卖有限公司,关于同意江苏鹏拍国际拍卖有限公司经营拍卖业务的批复,宁商审批〔2021〕391号,国家法律法规和政策允许的有形资产和无形资产的拍卖（依法须经批准的项目，经相关部门批准后方可开展经营活动）,南京市商务局,2021/7/21
37764,常州康时健国际贸易有限公司,行政许可决定书,32040420210721000,公司变更登记,常州市钟楼区行政审批局(区政务服务管理办公室),2021/7/21
37763,江苏通盛新型装饰材料有限公司,行政许可决定书,武行审特压〔2021〕0055号,特种设备使用登记,武进区行政审批局,2021/7/21
37759,常州德福汽车维修服务有限公司,行政许可决定书,武行审综审架准字〔2021〕0647号,临时性建筑物搭建、堆放物料、占道施工审批,武进区行政审批局,2021/7/21
37755,常州市普丰汽车部件有限公司,行政许可决定书,武行审特压〔2021〕0056号,特种设备使用登记,武进区行政审批局,2021/7/21
37752,南通东方石油化工港储有限公司,交通行政许可申请许可决定书,NT320600202107210024,"南通东方石油化工港储有限公司:你(单位)于2021-07-21 10:27:09向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 11:00:00至2021-07-22 13:00:00时间内作业。",如皋市港口局,2021/7/21
37758,常州市武进昊骋化工物资有限公司,320405YX21004922,320405YX21004922,第一类、第二类易制毒化学品运输许可,常州市公安局经开分局,2021/7/21
37757,江苏亿晋润商贸有限公司,行政许可决定书,32040420210721000,公司变更登记,常州市钟楼区行政审批局(区政务服务管理办公室),2021/7/21
37181,苏州福芝堂大药房有限公司,准予许可决定书,苏行审药经营许字〔2021〕E200号,药品零售企业许可变更,苏州市行政审批局,2021/7/21
37908,苏州苏太企业有限公司,准予行政许可决定书,〔2021〕第01号,种畜禽生产经营许可,苏州市吴江区行政审批局,2021/7/21
37166,泰州市通江油品装卸有限公司,交通行政许可申请许可决定书,TZ321200202107210061,"泰州市通江油品装卸有限公司:你(单位)于2021-07-21 16:28:43向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 17:00:00至2021-07-22 22:00:00时间内作业。",泰州市交通运输局,2021/7/21
34417,南通伦坤建设工程有限公司,建筑业企业资质的核准,D23233722820210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37165,江苏华扬液碳有限责任公司泰兴二氧化碳厂,交通行政许可申请许可决定书,TZ321200202107210058,"江苏华扬液碳有限责任公司泰兴二氧化碳厂:你(单位)于2021-07-21 16:23:36向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 16:30:00至2021-07-23 16:00:00时间内作业。",泰兴市港口局,2021/7/21
37167,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210012,"张家港保税港区港务有限公司:你(单位)于2021-07-21 09:46:05向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
34416,江苏集飞智能科技有限公司,建筑业企业资质的核准,D23236588020210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34415,江苏旭筑建设有限公司,建筑业企业资质的核准,D23234187620210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37168,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210069,"张家港保税港区港务有限公司:你(单位)于2021-07-21 13:32:40向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
37169,连云港新东方国际货柜码头有限公司,交通行政许可申请许可决定书,LYG320700202107210008,"连云港新东方国际货柜码头有限公司:你(单位)于2021-07-21 15:59:31向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 00:00:00至2021-07-23 00:00:00时间内作业。",连云港市港口局,2021/7/21
34418,江苏翔智电力工程有限公司,建筑业企业资质的核准,D23234965420210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37153,泰兴太平洋液化气有限公司,交通行政许可申请许可决定书,TZ321200202107210044,"泰兴太平洋液化气有限公司:你(单位)于2021-07-21 15:09:18向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 16:30:00至2021-07-23 07:00:00时间内作业。",泰兴市港口局,2021/7/21
37154,泰州市通江油品装卸有限公司,交通行政许可申请许可决定书,TZ321200202107210055,"泰州市通江油品装卸有限公司:你(单位)于2021-07-21 16:22:27向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 17:00:00至2021-07-22 20:00:00时间内作业。",泰州市交通运输局,2021/7/21
33374,南通雅本化学有限公司,准予行政许可决定书,1.13206000142072E+44,无线电台（站）设置许可,南通市工业和信息化局,2021/7/21
37152,泰兴太平洋液化气有限公司,交通行政许可申请许可决定书,TZ321200202107210036,"泰兴太平洋液化气有限公司:你(单位)于2021-07-21 14:48:43向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 15:00:00至2021-07-23 03:00:00时间内作业。",泰兴市港口局,2021/7/21
37155,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210124,"张家港保税港区港务有限公司:你(单位)于2021-07-21 16:35:36向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 20:00:00至2021-07-22 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
34420,江苏庆历建设工程有限公司,建筑业企业资质的核准,D23238035420210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34419,江苏追光豹建设工程有限公司,建筑业企业资质的核准,D23238025820210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34425,启东市海复加油站有限公司,危险化学品经营许可,11320600MB0107588Y3000125045000202106300008,换证,南通市行政审批局,2021/7/21
34421,江苏典华建设工程有限公司,建筑业企业资质的核准,D23236974020210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
34414,南通妙盛建设工程有限公司,建筑业企业资质的核准,D23220875120210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37895,苏州天协针灸器械有限公司,医疗器械注册证,苏械注准20162200895,揿针的针体采用06Cr19Ni10奥氏体不锈钢丝经磨抛绕制而成，按品种分为一次性使用无菌揿针和未灭菌型揿针两种，每种又按针体直径、长度不同分为若干规格。一次性使用无菌揿针又分为A型和B型两种，经环氧乙烷灭菌，一次性使用；未灭菌揿针以非无菌状态提供。,江苏省药品监督管理局,2021/7/21
37894,苏州新区姑苏高分子医用器材有限公司,医疗器械注册证,苏械注准20162140907,一次性使用导尿管单腔采用医用硅橡胶材料制成，双腔和三腔采用医用硅橡胶材料或天然乳胶材料制成。导尿管按型式不同分为单腔、双腔、三腔三种；按管径不同单腔导尿管分为9种规格，双腔导尿管分9种规格，三腔导尿管分7种规格。该产品以无菌状态提供，经环氧乙烷灭菌。一次性使用。,江苏省药品监督管理局,2021/7/21
37896,徐州市彭康电子设备有限公司,医疗器械生产许可证,苏食药监械生产许20030033号,II类:06-18图像显示、处理、传输及打印设备，09-03光治疗设备，15-01手术台，15-02诊疗台,江苏省药品监督管理局,2021/7/21
34412,江苏轩苏建设工程有限公司,建筑业企业资质的核准,D23238720220210721,建筑幕墙工程专业承包壹级,江苏省住房和城乡建设厅,2021/7/21
34411,苏州吴晟建筑装饰有限公司,建筑业企业资质的核准,D23238722820210721,建筑装修装饰工程专业承包贰级,江苏省住房和城乡建设厅,2021/7/21
37178,苏州鸿鑫源服务外包有限公司,准予行政许可决定书,2021第216号,新申请劳务派遣,吴中区行政审批局,2021/7/21
37179,苏州庭园房地产开发有限公司,生产建设项目水土保持方案审批,吴行审项保〔2021〕30号,生产建设项目水土保持方案,吴中区行政审批局,2021/7/21
34410,江苏鑫昌环境工程有限公司,建筑业企业资质的核准,D23238724420210721,建筑装修装饰工程专业承包贰级,江苏省住房和城乡建设厅,2021/7/21
34409,江苏舟儒建设有限公司,建筑业企业资质的核准,D23238719820210721,电力工程施工总承包叁级、输变电工程专业承包叁级,江苏省住房和城乡建设厅,2021/7/21
37897,江苏三联星海医疗器械有限公司,医疗器械生产许可证,苏食药监械生产许20040109号,III类:02-06手术器械-夹，13-09整形及普通外科植入物II类:02-01手术器械-刀，02-07手术器械-针，02-08手术器械-钩，02-12手术器械-穿刺导引器，02-13手术器械-吻（缝）合器械及材料，02-15手术器械-其他器械，06-16内窥镜辅助用品，14-05非血管内导（插）管，18-01妇产科手术器械,江苏省药品监督管理局,2021/7/21
34413,江苏_瑭建设发展有限公司,建筑业企业资质的核准,D23227307320210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
33390,句容恒瑞旅游开发有限公司,特殊建设工程消防设计审查意见书,句住建消审字〔2021〕第0036号,句容市住房和城乡建设局关于句容市容广路北侧，容城大道西侧局部地块开发项目（A-028地块）10#幼儿园内装修特殊建设工程消防设计审查,句容市住房和城乡建设局,2021/7/21
33387,句容市教育局,特殊建设工程消防设计审查意见书,句住建消审字〔2021〕第0035号,句容市住房和城乡建设局关福地路幼儿园综合教学楼（含地下车库）、门卫特殊建设工程消防设计审查,句容市住房和城乡建设局,2021/7/21
33389,镇江芘丽芙美容医院有限公司,公共场所卫生许可（变更）,公20210017,变更法定代表人为：徐明杰。,镇江市卫生健康委员会,2021/7/21
37903,吴江汾湖国际会议中心有限公司,高危险性体育项目经营许可,32050920210009,允许吴江汾湖国际会议中心有限公司经营高危险性体育项目（游泳）,苏州市吴江区文体广电和旅游局,2021/7/21
33481,南通筑彩建筑装饰工程有限公司,建筑业企业资质的核准,D23238717220210721,防水防腐保温工程专业承包贰级、建筑装修装饰工程专业承包贰级,江苏省住房和城乡建设厅,2021/7/21
37898,江苏风和医疗器材股份有限公司,医疗器械注册证,苏械注准20172020152,一次性使用直线型吻合器及组件由器身、抵钉座、钉仓组件（含钉仓、推钉片、定位轴、吻合钉）组成。每把直线型吻合器出厂附带一个钉仓。该产品以无菌状态提供，经钴-60 辐照灭菌。一次性使用。,江苏省药品监督管理局,2021/7/21
33391,镇江森_新材料有限公司,下蜀镇建设用地规划审批申请表,下规镇建〔2021〕001号,符合城乡规划要求，颁发此证,句容市下蜀镇人民政府,2021/7/21
33394,沭阳县欣悦饭店,食品经营许可,13220094食许准字〔2021〕第07210032号,餐饮服务经营者,沭阳县市场监督管理局,2021/7/21
33910,沭阳年大叔食品有限公司,食品经营许可,13220426食许准字〔2021〕第07210024号,食品销售经营者,沭阳县市场监督管理局,2021/7/21
37587,邳州市万通航运有限公司,中华人民共和国内河船舶检验证书,2004S2192127,船舶法定检验,徐州市地方海事局,2021/7/21
37588,邳州市万通航运有限公司,中华人民共和国内河船舶检验证书,2004V2192130,船舶法定检验,徐州市地方海事局,2021/7/21
33591,中皋建设发展有限公司,准予行政许可决定书,11320682355070390U400013100300002202107210658,公司变更登记,如皋市行政审批局,2021/7/21
33587,江苏仁厚建设工程有限公司,建筑业企业资质的核准,D23212528620210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37595,徐州市安达航运有限公司,中华人民共和国内河船舶检验证书,2004K2197295,船舶法定检验,徐州市地方海事局,2021/7/21
37599,江苏乐保涂建设科技有限公司,建筑业企业资质的核准,D23227227320210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37600,南通通禹防水工程有限公司,建筑业企业资质的核准,D23231975820210721,建筑业企业资质证书简单变更,江苏省住房和城乡建设厅,2021/7/21
37596,徐州市安达航运有限公司,中华人民共和国内河船舶检验证书,2005E2198127,船舶法定检验,徐州市地方海事局,2021/7/21
