A0,A2,A4,A5
37898,医疗器械 注册证,吻合器 组件 器身 组件 含钉 钉片 定位 吻合器 出厂 附带 产品 无菌 状态,药品 监督 管理
33391,建设 用地 规划 申请表,城乡规划,人民政府
33394,食品 经营,餐饮 服务 经营者,市场 监督 管理
33910,食品 经营,食品 销售 经营者,市场 监督 管理
37587,船舶 检验证书,船舶 法定 检验,地方 海事
37588,船舶 检验证书,船舶 法定 检验,地方 海事
33591,准予 行政,变更 登记,行政 审批
33587,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37595,船舶 检验证书,船舶 法定 检验,地方 海事
37599,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37600,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37596,船舶 检验证书,船舶 法定 检验,地方 海事
37598,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33593,准予 行政,停水,园林
33679,商品房 预售,水木 花园 丁香,住房 保障 房产
37567,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37740,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33691,商品房 预售,锦方 苑东苑,住房 保障 房产
37568,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33600,食品 经营,食品 销售 经营者,市场 监督 管理
33594,准予 行政,药品 零售 换证,行政 审批
37569,交通 行政,码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37570,交通 行政,码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37601,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37733,医疗器械 注册证,弧型 吻合器 组件 组件 弧形 吻合器 规格 厚度 高度 尺寸 吻合器 器身 组件 吻合器 器身 组件 附件 手术 组件 吻合器 组件 吻合器 出厂 规格 组件 产品 无菌 状态 环氧乙烷,药品 监督 管理
37734,药品 出口,特药 蛋肽 出口,药品 监督 管理
37731,医疗器械 注册证,蒸汽 灭菌器 外壳 蒸汽 管道 系统 材质 不锈钢板 压制,药品 监督 管理
37732,医疗器械 注册证,配药 注射器 外套 芯杆 活塞 配药 配药 针管 护套 针座 产品 公称 容量 规格 配药 针分 斜面 侧孔 规格 配药 针管 管壁 薄壁 产品 无菌 形式 环氧乙烷,药品 监督 管理
37735,药品 经营 许可证,药品 变更,药品 监督 管理
37738,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37737,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37736,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37739,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37730,医疗器械 生产 许可证,射频 手术 设备 附件 手术器械 手术器械 手术器械 手术器械 器械 内窥镜 辅助 用品 血管 内导,药品 监督 管理
37606,行政,变更 登记,行政 审批
37607,行政,分公司 变更 登记,行政 审批
37602,行政,变更 登记,行政 审批
37603,行政,动物 动物 产品 检疫 合格证 动物 产地 检疫,农业 农村
37725,医疗器械 注册证,直线 吻合器 组件 吻合器 组件 吻合器 手柄 推钮 手柄 组件 组件 钉片 吻合器 组件 组件 直线 吻合器 组件 型号 型号 厚度 规格 高度 尺寸 产品 无菌 状态 环氧乙烷,药品 监督 管理
37728,医疗器械 注册证,配药 注射器 配药 配药 配药 头式 偏头 外套 芯杆 活塞 配药 保护套 针管 针座 外套 芯杆 针座 保护套 聚丙烯 材料 活塞 天然橡胶 针管 材料 型式 斜面 针管 侧孔 针管 外径 产品 无菌 状态 环氧乙烷,药品 监督 管理
37729,医疗器械 注册证,水泥 搅拌器 结构 附件 搅拌棒 定位 软管 部件 搅拌棒 部件 产品 无菌 状态 环氧乙烷,药品 监督 管理
37726,医疗器械 注册证,振动 治疗仪 机架 传动 软轴 系统 系统 电源 系统,药品 监督 管理
37727,药品 经营 许可证,药品 变更,药品 监督 管理
33697,社会 团体 登记 证书,社会 团体 变更 法人 陈震 变更 吴坚,民政
37380,建设 项目 用地 预审 选址 意见书,旅游 路段,自然资源 规划
37381,建设 项目 用地 预审 选址 意见书,旅游,自然资源 规划
37378,建设 工程 消防 设计 意见书,经济 技术开发区 项目 建设 工程,城乡 建设
37379,准予 变更 行政,处方药 中成药 中药饮片 化学 药制剂 抗生素 制剂 生化 药品 生物制品 血液制品,市场 监督 管理
37384,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33586,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37386,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37385,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33585,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37377,经营者 备案 登记,经营者 备案 登记 益农 化工,商务
33494,准予 行政,雷电 防护装置 设计,气象
33875,商品房 预售,都会,住房 保障 房产
33493,准予 行政,装潢 印刷品 印刷品 印刷 登记 事项 变更,行政 审批
33898,建筑业 资质 证书,重组,城乡 建设
37373,建设 用地 规划 许可证,淮展 置业 奥体中心 幼儿园 项目,自然资源 规划
33584,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37376,经营者 备案 登记,经营者 备案 登记 半导体,商务
33868,准予 行政,裕昌 药房 青创 园店,行政 审批
37375,经营者 备案 登记,经营者 备案 登记 荣丰 进出口,商务
33866,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37402,建筑业 资质 核准,公路 交通 工程 公路 设施 专业 公路 交通 工程 公路 机电 工程 专业,城乡 建设
37404,园林绿化 准予 行政,胸径 法桐 消险 更新 季节,园林
37400,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37401,建筑业 资质 核准,特种 工程 特种 技术 专业,城乡 建设
37463,园林绿化 准予 行政,胸径 法桐 消险,园林
37558,医疗器械 生产 许可证,致病性 病原体 抗原 抗体 核酸 检测 试剂 血型 配型 试剂 人类基因 检测 试剂 遗传性 试剂 麻醉药品 精神药品 医疗 毒性 药品 检测 试剂 药物 靶点 检测 试剂 肿瘤 标志物 检测 试剂 过敏原 试剂 流式 技术 试剂 血液学 分析 设备 生化 分析 设备 电解质 血气 分析 设备 分析 设备 分子生物学 分析 设备 分析 设备 尿液 样本 分析 设备 医用 分析 设备 检验 辅助 设备 检测 癌胚抗原 检测 抗原 蛋白质 检测 试剂 糖类 检测 试剂 激素 检测 试剂 酶类 检测 试剂 酯类 检测 试剂 无机 离子 检测 试剂 药物 药物 代谢物 检测 试剂 抗体 检测 试剂 试验 试剂 生理 生化 功能 指标 检测 试剂 维生素 检测 试剂 检测 抗原 检测 细胞 角蛋白 检测 抗原 检测 鳞状 抗原 检测 附睾 蛋白 检测 神经元 特异性 烯醇 化酶 检测 肿瘤 抗原 血源 细胞 试剂,药品 监督 管理
37559,医疗器械 注册证,计量 计量 液袋 关系 单体 串联式 型式 单体 计量 计量 计量 通气口 绳索 计量 计量 液袋 计量 计量 液袋 计量 绳索 通气口 液袋 液袋 计量 计量 液袋 液袋 计量 挂带 通气口 计量 计量 液袋 液袋 产品 无菌 状态 环氧乙烷,药品 监督 管理
37556,医疗器械 注册证,电极 电极 手柄 电线 插头 绝缘 套管 套管,药品 监督 管理
37557,医疗器械 注册证,吻合器 组件 器身 钉片 定位 限位 吻合器 产品 结构 规格 吻合器 出厂 产品 无菌 状态,药品 监督 管理
37399,行政,注销 登记,行政 审批
37392,招标,品品 白金 老白茶,综合 行政 执法
33786,准予 药品 经营 许可证 换发 行政,处方药 化学 药制剂 抗生素 制剂 生化 药品 中成药 中药饮片 生物制品 疫苗,行政 审批
33865,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37391,招标,语绣,综合 行政 执法
33780,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37397,行政,广告 设施 设置,人民政府
37398,行政,广告 张挂 张贴 宣传品 设置,人民政府
37395,行政,分公司 变更 登记,行政 审批
37396,行政,注销 登记,行政 审批
36871,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
32990,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
36872,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36936,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33250,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
32989,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33249,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
36941,准予,药品 零售,行政 审批
36932,交通 行政,石油 燃料 沥青 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
36933,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36930,交通 行政,国邦 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36931,交通 行政,国邦 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36935,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36873,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36934,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33118,建筑业 资质 核准,防腐 保温 工程 专业 建筑 幕墙 工程 专业 特种 工程 特种 技术 专业,城乡 建设
36953,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38085,危险 化学品 经营,易制爆 危化品 硝酸 危化品 丙烯 二甲醚 戊烷 戊烷 环己烷 正己烷 甲基 戊烷 二甲基 丁烷 甲氧基 甲烷 甲酸 甲酯 甲酸 乙酯 石油醚 石脑油 庚烷 辛烷 异辛烷 甲基 环己烷 庚烷 二氯乙烷 二氯 丙烷 乙苯 甲醇 乙醇 丙醇 丙醇 甲基 丙醇 甲基 戊酮 羟基 甲基 戊酮 甲基 丁基 甲氧基 乙烷 乙酸 甲酯 丙烯酸甲酯 乙酸乙酯 乙酸 正丙酯 乙酸 丁酯 乙酸 丁酯 丙烯酸 乙酯 甲基丙烯酸甲酯 碳酸 二甲酯 煤焦油 二甲苯 二甲苯 异构体 混合物 甲基 苯乙烯 甲基 丙醇 正丁醇 戊醇 丙二醇 乙醚 甲氧基 乙酸乙酯 乙二醇 乙醚 丁基 环己酮 丙烯酸 丁酯 二甲基甲酰胺 松节油 硝化 沥青 甲苯 环氧丙烷 苯酚 巯基乙醇 二氯甲烷 三氯乙烷 三氯乙烷 氯乙烯 氧基 乙醇 甲基 苯胺 乙酸 含量 丙烯酸 马来 酸酐 邻苯二甲酸酐 马来 酸酐 氢氧化钠 氨基 乙醇 羟基 二乙胺 甲醛 溶液 亚硝基 甲基 四胺 乙酸 乙二醇 乙醚 易制毒 化学品 丙酮 丁酮 硫酸 盐酸 甲苯 乙醚 品种 储存 经营品种 行政,应急 管理
36951,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36952,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38126,交通 行政,化工 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
38127,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
33252,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
38125,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36944,准予,药品 零售 变更,行政 审批
36945,准予 行政,劳务 派遣,行政 审批
36943,准予,药品 零售 变更,行政 审批
38124,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36949,交通 行政,油品 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36950,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33251,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
36948,交通 行政,扬子 物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36929,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34787,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34786,交通 行政,化工 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
38103,港口 经营 许可证,港口 经营,交通 运输
34788,交通 行政,永盛 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36879,交通 行政,扬子 嘉盛 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
38108,行政,变更 登记,行政 审批
36880,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
38107,行政,特种 设备 登记,行政 审批
36883,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36884,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36882,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36881,交通 行政,恒基 达鑫 国际 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38106,行政,建筑工程 施工,行政 审批
38105,320405GB21102142,易制毒 化学品 备案,公安
36885,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36886,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38112,建筑业 资质 核准,建筑 装修 装饰 工程 专业,城乡 建设
33144,建筑业 资质 证书,重组,城乡 建设
33138,经营 业务,项目 部门 经营,商务
38111,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33155,危险性 体育项目 经营 许可证,危险性 体育运动 游泳,行政 审批
38115,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
38113,建筑业 资质 核准,特种 工程 设备 吊装 专业,城乡 建设
38114,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
36900,交通 行政,化工 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
36901,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
38110,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
36899,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36904,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36905,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36902,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36903,交通 行政,船舶 燃料 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37138,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34718,医疗器械 注册证,产品 腕带 组件 硅胶 按键 电极 组件 主板 液晶屏 锂电池 充电器 电极 材质 表面 镀铬 材质,药品 监督 管理
38070,医疗器械 注册证,日光 紫外线 模拟器 腔体,药品 监督 管理
38069,医疗器械 注册证,医用 口罩 口罩 口罩 鼻夹 口罩 内层 面层 纺粘 无纺布 无纺布 热风 聚酯纤维 外层 纺粘 无纺布 可塑性 材料 口罩 涤纶 氨纶 产品 无菌 无菌 状态 无菌 产品 环氧乙烷,药品 监督 管理
37985,园林绿化 准予 行政,白下 园区 太阳能 项目 建设 绿地,园林
37940,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34717,医疗器械 注册证,医用 脱脂 纱布 脱脂 纱布 原料 层数 纱线 规格 产品 无菌 无菌 状态 无菌 产品 环氧乙烷,药品 监督 管理
34716,医疗器械 注册证,导尿管 单腔 双腔 镊子 医用 纱布 医用 棉球 硅油 棉球 酒精 棉球 棉球 橡胶 检查 手套 孔巾 尿样 尿样 别针 塑料 单腔 导尿管 规格 双腔 导尿管 规格 导尿管 规格 产品 无菌 状态 环氧乙烷,药品 监督 管理
38071,医疗器械 生产 许可证,眼科 器具,药品 监督 管理
34719,医疗器械 生产 许可证,脊柱 外科 辅助 器械 植入物 脊柱 植入物 普通外科 植入物 手术器械 手术器械 手术器械 手术器械 手术器械 器械 材料 手术器械 冲吸器 脊柱 外科 辅助 器械 内窥镜 辅助 用品 电疗 设备 器具 磁疗 设备 器具,药品 监督 管理
38076,医疗器械 生产 许可证,蛋白质 检测 试剂,药品 监督 管理
34721,医疗器械 注册证,肛肠 吻合器 附件 吻合器 附件 吻合器 组件 手柄 保险 手柄 调节 螺母 刀圈 环形 组件 器身 连接成 一体 附件 扩张器 勾线 组件 外径 型号 产品 无菌 状态 环氧乙烷,药品 监督 管理
34720,医疗器械 注册证,酒精 酒精 无纺布 铝箔纸 产品 无菌 状态,药品 监督 管理
38073,医疗器械 生产 许可证,血液学 分析 设备 分析 设备 蛋白质 检测 试剂 激素 检测 试剂 酶类 检测 试剂 抗体 检测 试剂 生理 生化 功能 指标 检测 试剂 维生素 检测 试剂,药品 监督 管理
38072,医疗器械 注册证,外科 刀头 刀头 手柄,药品 监督 管理
38075,医疗器械 生产 许可证,射频 手术 设备 附件 手术器械 手术器械 器械 普通外科 植入物 器械 手术器械 手术器械 手术器械 手术器械 手术器械 手术器械 器械 材料 手术器械 器械 影像 设备 光学 设备 血管 内导 妇产科 手术器械,药品 监督 管理
38074,医疗器械 注册证,医用 背衬 聚氨酯 薄膜 离型纸 粘合剂 医用 丙烯酸酯 材料 规格 A型 B型 尺寸 产品 无菌 状态 环氧乙烷,药品 监督 管理
37939,行政,变更 登记,行政 审批
34619,危险 化学品 经营,变更 法人,行政 审批
34429,食品 经营,食品 销售 经营者,市场 监督 管理
33263,准予 行政,公共场所 卫生 新证,卫生 健康 委员会
33264,危险性 体育项目 经营 许可证,危险性 体育运动 游泳,行政 审批
37151,交通 行政,液化气 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
33373,行政 准予 行政,麻醉药品 精神药品 证明,行政 审批
36708,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34426,准予 行政,建筑物 物料 施工,城市 管理
33259,准予 行政,设置,工业 信息化
